"","Pathway","Overall_rank","pval","Intersect","ADset_Size","pathway_Size","adj_p","enrich_rank"
"269","Pathway.KEGG_Propanoate metabolism",211,0.734627029901329,1,306,34,1,211
"270","Pathway.KEGG_Butanoate metabolism",212,0.664485937388053,1,306,28,1,199
"272","Pathway.KEGG_Primary immunodeficiency",212,0.773060240741065,1,306,38,1,217
"275","Pathway.KEGG_Vasopressin-regulated water reabsorption",214,0.820557109004283,1,306,44,1,224
"278","Pathway.KEGG_2-Oxocarboxylic acid metabolism",216,1,0,306,18,1,282
"286","Pathway.KEGG_Carbohydrate digestion and absorption",220,1,0,306,47,1,282
"289","Pathway.KEGG_Non-homologous end-joining",221,1,0,306,13,1,282
"294","Pathway.KEGG_Gastric acid secretion",222,0.946818983530087,1,306,75,1,243
"295","Pathway.KEGG_Mineral absorption",222,0.655811735155024,2,306,58,1,198
"298","Pathway.KEGG_Ferroptosis",224,0.790142493299353,1,306,40,1,221
"299","Pathway.KEGG_African trypanosomiasis",224,0.76400632074977,1,306,37,1,215
"302","Pathway.KEGG_Glycerolipid metabolism",226,0.682879638387386,2,306,61,1,201
"303","Pathway.KEGG_Glyoxylate and dicarboxylate metabolism",227,1,0,306,30,1,282
"304","Pathway.KEGG_RIG-I-like receptor signaling pathway",228,0.753751567158529,2,306,70,1,213
"306","Pathway.KEGG_Basal cell carcinoma",229,0.69994250966597,2,306,63,1,203
"307","Pathway.KEGG_Mismatch repair",230,1,0,306,23,1,282
"312","Pathway.KEGG_Fanconi anemia pathway",232,1,0,306,54,1,282
"313","Pathway.KEGG_Cytosolic DNA-sensing pathway",232,1,0,306,63,1,282
"315","Pathway.KEGG_Hippo signaling pathway",234,0.711670618963558,5,306,155,1,205.5
"320","Pathway.KEGG_Phototransduction",235,1,0,306,28,1,282
"323","Pathway.KEGG_Amino sugar and nucleotide sugar metabolism",235,1,0,306,48,1,282
"325","Pathway.KEGG_Maturity onset diabetes of the young",236,1,0,306,26,1,282
"326","Pathway.KEGG_Collecting duct acid secretion",236,0.651117798955858,1,306,27,1,196.5
"329","Pathway.KEGG_Amoebiasis",237,0.90626582162473,2,306,102,1,238
