"Pathway"	"Genes"
"121"	"Pathway.KEGG_cGMP-PKG signaling pathway"	"PPP1R12A, PPP1CA, PPP1CB, PPP1CC, MYL9, NPR1, PRKG1, PRKG2, GUCY1A2, GUCY1A1, GUCY1B1, ITPR1, ITPR2, ITPR3, KCNMB2, KCNU1, KCNMB3, KCNMB4, KCNMA1, KCNMB1, NPR2, MRVI1, PDE5A, CNGB1, CNGA1, RGS2, ADRA1D, ADRA1B, ADRA1A, ADRA2A, ADRA2B, ADRA2C, AGTR1, EDNRA, EDNRB, PLCB1, PLCB2, PLCB3, PLCB4, CACNA1C, CACNA1D, CACNA1F, CACNA1S, RHOA, ROCK1, ROCK2, GNA11, GNAQ, TRPC6, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, NFATC1, NFATC2, NFATC3, NFATC4, MEF2B, MEF2A, BORCS8-MEF2B, MEF2C, MEF2D, GATA4, SRF, ATP2A1, ATP2A2, ATP2A3, PLN, KCNJ8, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, BAD, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, VASP, SLC8A2, SLC8A1, SLC8A3, ATP1B4, ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD2, ATP2B1, ATP2B2, ATP2B3, ATP2B4, GTF2I, GTF2IRD1, OPRD1, PIK3R6, PIK3R5, PIK3CG, AKT3, AKT1, AKT2, NOS3, MYH6, MYH7, NPPB, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PDE2A, PDE3A, PDE3B, PRKCE, PPIF, SLC25A4, SLC25A5, SLC25A6, VDAC1, VDAC2, VDAC3, SLC25A31, MYLK4, MYLK, MYLK2, MYLK3, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, IRS1, IRS4, IRS2, INSR, ADRB1, ADRB2, ADRB3, GNAI1, GNAI2, GNAI3, BDKRB2, ADORA1, ADORA3, INS, GNA13, GNA12, KNG1, NPPA, NPPC"
"122"	"Pathway.KEGG_cAMP signaling pathway"	"CACNA1C, CACNA1D, CACNA1F, CACNA1S, RYR2, ATP2A1, ATP2A2, ATP2A3, TNNI3, ATP1B4, ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD2, SLC9A1, CHRM1, CHRM2, ADORA1, ADRB2, DRD2, EDNRA, GABBR1, GHSR, HCAR1, FFAR2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HCAR2, NPY1R, OXTR, SUCNR1, PTGER3, SSTR1, SSTR2, SSTR5, HCAR3, GABBR2, GNAI1, GNAI2, GNAI3, GNAS, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKACA, PRKACB, PRKACG, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, MAPK1, MAPK3, PLN, CFTR, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, RAPGEF3, RAPGEF4, ATP2B1, ATP2B2, ATP2B3, ATP2B4, RAP1A, RAP1B, RAF1, MAP2K1, MAP2K2, ARAP3, BRAF, PLCE1, MAPK8, MAPK9, MAPK10, CREB3, CREB1, CREB3L4, CREB3L2, CREB3L3, CREB3L1, CREB5, CNGB1, CNGA1, CNGA2, CNGA3, CNGA4, CNGB3, RHOA, ROCK1, ROCK2, PPP1R12A, CAMK4, CAMK2A, CAMK2B, CAMK2D, CAMK2G, ADCYAP1R1, ADORA2A, GPR119, ADRB1, DRD1, DRD5, FSHR, GIPR, GLP1R, HTR4, HTR6, LHCGR, MC2R, NPR1, PTGER2, TSHR, VIPR2, AFDN, PDE10A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, BAD, GLI3, NFKB1, RELA, PPARA, NFATC1, CREBBP, EP300, SOX9, ABCC4, ADCY10, RRAS2, RRAS, PLD1, PLD2, LIPE, NPY, GHRL, GRIA1, GRIA2, GRIA3, GRIA4, GRIN3A, GRIN3B, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, ORAI1, FXYD1, HCN4, HCN2, PPP1R1B, PPP1CA, PPP1CB, PPP1CC, NFKBIA, AMH, BDNF, FOS, JUN, GLI1, PTCH1, HHIP, F2R, ACOX1, ACOX3, MYL9, TIAM1, VAV3, VAV1, VAV2, RAC1, RAC2, RAC3, PAK1, CGA, FSHB, OXT, POMC, GIP, NPPA, EDN1, EDN2, EDN3, SST, GCG, ADCYAP1, VIP, TSHB, LHB"
"123"	"Pathway.KEGG_Cytokine-cytokine receptor interaction"	"IL20RB, IL4, BMPR2, ACVR2B, ACVR1B, ACVR2A, IL10RB, IL22RA1, IL2RG, IL2RB, CSF2RB, LIFR, IL6ST, IL18RAP, IL18R1, IL1R2, IL1RAP, IL1R1, IL17RA, BMPR1A, BMPR1B, ACVR1, AMHR2, TGFBR1, TGFBR2, IL18, IL1B, IL1A, IL25, IL17B, IL17A, GDF5, BMP7, BMP2, AMH, INHBE, INHBC, INHBB, INHBA, TGFB3, TGFB2, TGFB1, RELT, TNFRSF19, EDA2R, EDAR, TNFRSF13C, TNFRSF13B, TNFRSF17, TNFRSF18, TNFRSF4, TNFRSF9, TNFRSF8, CD27, CD40, FAS, TNFRSF6B, TNFRSF14, LTBR, EDA, TNFSF13B, TNFSF13, TNFSF18, TNFSF4, TNFSF9, TNFSF8, CD70, CD40LG, FASLG, TNFSF14, LTB, LTA, IFNLR1, IL20RA, IL10RA, IFNGR2, IFNGR1, IFNAR2, IFNAR1, IL26, IFNL1, IFNL2, IFNL3, IL22, IL24, IL20, IL19, IL10, IFNG, IFNE, IFNK, IFNW1, IFNB1, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, MPL, PRLR, GHR, EPOR, CRLF2, IL7R, IL21R, IL15RA, IL9R, IL4R, IL2RA, IL5RA, IL3RA, CSF2RA, THPO, PRL, CSH1, CSH2, GH1, GH2, EPO, TSLP, IL21, IL15, IL9, IL7, IL2, IL5, IL3, CSF2, IL12RB1, IL23R, IL12RB2, IL13RA1, CSF3R, CNTFR, OSMR, IL11RA, IL6R, IL23A, IL12A, IL12B, IL13, CSF3, CTF1, CLCF1, CNTF, LIF, OSM, IL11, IL6, CX3CR1, XCR1, CXCR6, CXCR5, CXCR4, CXCR3, CXCR1, CXCR2, CX3CL1, XCL2, XCL1, CXCL14, PF4, PF4V1, CXCL16, CXCL13, CXCL12, CXCL11, CXCL10, CXCL9, CXCL8, CXCL6, CXCL5, PPBP, TNFRSF1A, TNFRSF1B, NGFR, TNFRSF21, TNFRSF12A, TNFRSF11A, TNFSF12, TNFRSF10C, TNFRSF11B, TNFRSF10B, TNFRSF10A, TNFSF10, TNFRSF10D, TNFSF15, TNF, CXCL1, CXCL2, CXCL3, TNFSF11, ACKR3, IL17RB, IL17RC, IL17RE, IL17F, IL17C, IL17D, ACKR4, CCR5, CCL4L1, CCL4, CCL4L2, CCL3L3, CCL3, CCL3L1, CCR7, CCL21, CCL19, CCR3, CCL26, CCL24, CCL11, CCL16, CCL14, CCR1, CCR2, CCR10, CCL7, CCL27, CCL28, CCR8, CCR9, CCL1, CCL25, CCL2, CCR4, CCL22, CCL17, CCL5, CCL8, CCL13, CCL15, CCL23, CCL18, CCR6, CCL20, CXCL17, IL27, IL27RA, IL31, IL31RA, IL1RN, IL36RN, IL36A, IL37, IL36B, IL36G, IL1F10, IL33, IL1RL2, IL1RL1, IL16, IL32, IL34, CSF1, CD4, CSF1R, TNFRSF25, NGF, ACVR1C, INHA, GDF1, GDF3, NODAL, BMP3, GDF10, GDF11, MSTN, GDF9, ACVRL1, GDF15, GDF2, BMP10, BMP4, GDF6, GDF7, BMP5, BMP6, BMP8A, BMP8B, BMP15, LEP, LEPR, IL13RA2"
"124"	"Pathway.KEGG_Viral protein interaction with cytokine and cytokine receptor"	"CCL3L3, CCL3, CCL3L1, CCL5, CCL7, CCL8, CCL13, CCL14, CCL15, CCL16, CCL23, CCR1, CCL27, CCL2, CCR2, CCL26, CCL28, CCL11, CCL24, CCR3, CCL17, CCL22, CCR4, CCL4L1, CCL4, CCL4L2, CCR5, CCL20, CCR6, CCL1, CCR8, CCL25, CCR9, ACKR4, CCR10, CCL18, CCL19, CCL21, CCR7, CX3CL1, CX3CR1, CXCL1, CXCL2, CXCL3, CXCL8, CXCL6, CXCL5, CXCR1, PPBP, CXCR2, CXCL13, CXCL10, CXCL9, PF4, PF4V1, CXCL11, CXCR3, CXCR5, CXCL12, ACKR3, CXCR4, CXCL14, XCL1, XCL2, XCR1, IL10RB, IL10RA, IL10, IL6ST, IL6R, IL6, IL2RG, IL2RB, IL2RA, IL2, IL18RAP, IL18R1, IL37, IL18, IL20RB, IL20RA, IL24, IL19, IL20, IL22RA1, IL34, CSF1, CSF1R, TNFRSF14, LTBR, TNFSF14, LTA, TNFRSF1A, TNFRSF1B, TNF, TNFRSF10D, TNFRSF10C, TNFRSF10B, TNFRSF10A, TNFSF10"
"125"	"Pathway.KEGG_Chemokine signaling pathway"	"CXCR6, CCR9, CCR1, CCR3, CCR4, CCR5, CCR6, CCR7, CCR8, CX3CR1, CCR10, XCR1, CXCR3, CXCR1, CXCR2, CXCR5, CCR2, CXCR4, CCL26, CXCL13, CCL27, CXCL1, CXCL2, CXCL3, CXCL8, CXCL10, CCL4L1, CCL3L3, CXCL9, PF4, PF4V1, PPBP, CCL28, CXCL16, CCL1, CCL2, CCL3, CCL3L1, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL15, CCL16, CCL17, CCL18, CCL19, CCL20, CCL21, CCL22, CCL23, CCL24, CCL25, CXCL6, CXCL11, CXCL5, XCL1, CX3CL1, CXCL12, XCL2, CXCL14, CCL4L2, JAK2, JAK3, PTK2, FGR, HCK, LYN, SRC, PXN, RHOA, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PLCB1, PLCB2, PLCB3, PLCB4, SHC2, SHC4, SHC3, SHC1, GNAI1, GNAI2, GNAI3, GNB5, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, GRB2, BCAR1, ELMO1, CRK, CRKL, GRK7, GRK2, GRK3, GRK4, GRK5, GRK6, GRK1, ARRB1, ARRB2, ROCK1, ROCK2, VAV3, VAV1, VAV2, ITK, CDC42, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, RASGRP2, RAP1A, RAP1B, WAS, PRKCB, PRKCD, PARD3, PRKCZ, TIAM1, NCF1, PRKACA, PRKACB, PRKACG, PTK2B, PAK1, STAT1, STAT2, STAT3, STAT5B, MAPK1, MAPK3, AKT3, AKT1, AKT2, HRAS, KRAS, NRAS, MAP2K1, RAF1, BRAF, DOCK2, RAC1, RAC2, RAC3, NFKB1, RELA, CHUK, IKBKB, IKBKG, NFKBIA, NFKBIB, PREX1, SOS1, SOS2, FOXO3, GSK3A, GSK3B, BAD, PIK3R6, PIK3R5, PIK3CG"
"126"	"Pathway.KEGG_NF-kappa B signaling pathway"	"BCL2L1, BCL2, BIRC2, BIRC3, NFKBIA, IRAK1, IRAK4, MYD88, TRAF2, TRAF5, RIPK1, TRADD, IL1R1, TNFRSF1A, IL1B, TNF, TNFSF14, LTBR, TRAF3, MAP3K14, CHUK, IKBKG, IKBKB, NFKB2, RELB, NFKB1, RELA, MAP3K7, TNFSF13B, TNFRSF13C, CD40LG, CD40, LOC102723407, PLCG1, PRKCB, PRKCQ, CARD10, CARD14, CARD11, BCL10, MALT1, TRAF6, TNFAIP3, TRAF1, CXCL8, CCL13, CXCL12, TNFRSF11A, TNFSF11, TLR4, TAB1, TAB2, TAB3, DDX58, TIRAP, TICAM2, TICAM1, ZAP70, LAT, LY96, CD14, LBP, CSNK2A1, CSNK2A2, CSNK2B, CSNK2A3, PLAU, BCL2A1, PLCG2, SYK, LYN, BTK, LCK, BLNK, ATM, PARP1, PIAS4, UBE2I, CFLAR, XIAP, GADD45B, TRIM25, PIDD1, PTGS2, CCL4L1, CCL4, CCL4L2, VCAM1, CXCL1, CXCL2, CXCL3, CCL21, CCL19, ICAM1, LTA, LTB, ERC1, EDA, EDAR, EDARADD, EDA2R, CYLD"
"127"	"Pathway.KEGG_HIF-1 signaling pathway"	"CUL2, RBX1, ELOB, ELOC, VEGFA, EGLN2, EGLN3, EGLN1, VHL, ARNT, CREBBP, EP300, HIF1A, SLC2A1, EGF, IGF1, INS, EGFR, ERBB2, IGF1R, INSR, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, MTOR, CYBB, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, PDK1, PDHA1, PDHA2, PDHB, CAMK2A, CAMK2B, CAMK2D, CAMK2G, HK1, HK2, HK3, HKDC1, PFKL, PFKM, PFKP, GAPDH, ALDOA, ALDOB, ALDOC, ENO1, ENO2, ENO3, ENO4, PGK1, PGK2, PFKFB3, EPO, TF, TFRC, FLT1, SERPINE1, ANGPT1, ANGPT2, ANGPT4, TEK, TIMP1, EDN1, NOS2, NOS3, HMOX1, NPPA, LTBR, TLR4, NFKB1, RELA, IFNG, IFNGR1, IFNGR2, IL6, IL6R, STAT3, EIF4EBP1, EIF4E, EIF4E1B, EIF4E2, RPS6KB1, RPS6KB2, RPS6, MAPK1, MAPK3, MAP2K1, MAP2K2, MKNK2, MKNK1, BCL2, CDKN1A, CDKN1B"
"128"	"Pathway.KEGG_FoxO signaling pathway"	"CHUK, IKBKB, MAPK8, MAPK9, MAPK10, MAPK1, MAPK3, PRKAG2, PRKAG3, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, INS, FOXO6, FOXO1, FOXO3, FOXO4, SOS1, SOS2, HRAS, KRAS, NRAS, MAP2K1, MAP2K2, INSR, ARAF, RAF1, BRAF, PCK1, PCK2, G6PC, G6PC2, G6PC3, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PDPK1, IRS1, IRS4, IRS2, EGFR, GRB2, STK4, EGF, PTEN, SKP2, MDM2, CREBBP, EP300, SIRT1, IGF1, IGF1R, CDK2, CCNB3, CCNB1, CCNB2, CCND1, CCND2, CDKN2B, CDKN2D, CDKN1A, CDKN1B, RBL2, PLK4, PLK2, PLK3, PLK1, GADD45G, GADD45A, GADD45B, FASLG, BCL2L11, TNFSF10, BCL6, CAT, SOD2, ATM, IL7R, KLF2, S1PR1, S1PR4, RAG1, RAG2, GRM1, HOMER3, HOMER2, HOMER1, AGAP2, TPTEP2-CSNK1E, CSNK1E, BNIP3, GABARAP, GABARAPL2, GABARAPL1, ATG12, C8orf44-SGK3, SGK2, SGK3, SGK1, TGFBR1, TGFBR2, SMAD3, SMAD4, FOXG1, STAT3, IL6, IL10, NLK, MAPK14, MAPK11, MAPK13, MAPK12, SETD7, PRMT1, USP7, FBXO32, FBXO25, SLC2A4, STK11, CCNG2, TGFB1, TGFB2, TGFB3"
"129"	"Pathway.KEGG_Phosphatidylinositol signaling system"	"PTEN, IPPK, PLCD3, PLCB1, PLCE1, PLCB2, PLCB3, PLCB4, PLCD1, PLCG1, PLCG2, PLCD4, PLCZ1, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, ITPR1, ITPR2, ITPR3, CDIPT, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PIP5K1C, PIP5K1A, PIP5K1B, PIKFYVE, PI4KA, PI4KB, PI4K2B, PI4K2A, PIK3C2A, PIK3C2B, PIK3C2G, CDS1, CDS2, DGKK, DGKA, DGKB, DGKG, DGKH, DGKQ, DGKZ, DGKE, DGKD, DGKI, INPP4A, INPP4B, INPP5B, OCRL, INPP5E, SYNJ1, SYNJ2, PIP4K2A, PIP4K2C, PIP4K2B, IPMK, MTM1, IMPA1, IMPA2, IMPAD1, INPP1, INPP5J, INPP5A, INPP5K, ITPK1, ITPKA, ITPKB, ITPKC, INPP5D, INPPL1, MTMR8, MTMR14, MTMR1, MTMR3, MTMR2, MTMR6, MTMR7, MTMR4, PIP4P2, PIP4P1, IP6K3, IP6K2, IP6K1, PPIP5K2, PPIP5K1, PIK3C3, PRKCA, PRKCB, PRKCG, INPP5F, SACM1L"
"130"	"Pathway.KEGG_Sphingolipid signaling pathway"	"MAPK1, MAPK3, MAP2K1, MAP2K2, RAF1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PDPK1, PRKCA, PRKCB, PRKCG, S1PR1, S1PR2, S1PR3, S1PR4, S1PR5, GNAI1, GNAI2, GNAI3, GNAQ, GNA13, GNA12, HRAS, KRAS, NRAS, PLCB1, PLCB2, PLCB3, PLCB4, RHOA, ROCK1, ROCK2, PTEN, TNF, SPTLC1, SPTLC3, SPTLC2, CERS1, CERS3, CERS6, CERS2, CERS4, CERS5, DEGS2, DEGS1, NSMAF, SMPD2, ACER1, ACER2, ASAH1, ASAH2, SPHK2, SPHK1, ABCC1, CTSD, MAP3K5, PRKCZ, PPP2R3B, PPP2R3C, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R3A, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP2R2D, SMPD1, SGPP2, SGPP1, MAPK8, MAPK9, MAPK10, BID, MAPK14, MAPK11, MAPK13, MAPK12, BAX, TP53, BCL2, SGPL1, SGMS2, SGMS1, NOS3, NFKB1, RELA, RAC1, RAC2, RAC3, TNFRSF1A, ADORA1, ADORA3, OPRD1, BDKRB2, FCER1A, MS4A2, FCER1G, PLD1, PLD2, FYN, GAB2, TRADD, TRAF2, PRKCE, KNG1"
"131"	"Pathway.KEGG_Phospholipase D signaling pathway"	"MAPK1, MAPK3, MAP2K1, MAP2K2, RAF1, RRAS2, MRAS, HRAS, KRAS, NRAS, RRAS, GRB2, SOS1, SOS2, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, SHC2, SHC4, SHC3, SHC1, KITLG, EGFR, INSR, KIT, PDGFRA, PDGFRB, GAB1, GAB2, PTPN11, RALGDS, RALA, RALB, RHOA, LPAR6, AGTR1, LPAR1, F2R, LPAR3, LPAR4, GRM1, GRM2, GRM3, GRM4, GRM5, GRM6, GRM7, GRM8, CXCR1, CXCR2, AVPR1A, AVPR1B, AVPR2, LPAR5, PTGFR, LPAR2, PLCG1, PLCG2, RAPGEF3, RAPGEF4, PRKCA, PLD1, PLD2, PLCB1, PLCB2, PLCB3, PLCB4, TSC1, TSC2, RHEB, MTOR, PIP5K1C, PIP5K1A, PIP5K1B, GNA13, PIK3R6, PIK3R5, PIK3CG, CYTH4, CYTH3, CYTH2, CYTH1, ARF1, GNAS, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PTK2B, GNA12, PLA2G4B, PLA2G4E, PLA2G4F, PLA2G4D, PLA2G4A, PLA2G4C, JMJD7-PLA2G4B, PLPP1, PLPP2, PLPP3, DGKK, DGKA, DGKB, DGKG, DGKH, DGKQ, DGKZ, DGKE, DGKD, DGKI, SPHK2, SPHK1, PDGFA, PDGFB, PDGFC, PDGFD, INS, EGF, DNM1, DNM2, DNM3, CXCL8, LOC102723407, FYN, FCER1A, MS4A2, FCER1G, SYK, AVP, ARF6, AGPAT1, AGPAT2, AGPAT5, AGPAT3, AGPAT4, F2, AGT"
"132"	"Pathway.KEGG_Neuroactive ligand-receptor interaction"	"CTSG, F2, GZMA, PLG, PRSS1, PRSS2, PRSS3, MAS1, MCHR1, MCHR2, CGA, TSHB, LHB, FSHB, TACR3, TACR2, KISS1R, PRL, PRLR, LEPR, THRA, THRB, LEP, CSH1, CSH2, GH1, GH2, GHR, NR3C1, TSPO, TRPV1, GLRA1, GLRA2, GLRB, GLRA3, GRIN3A, GRIN3B, GRIA1, GRIA2, GRIA3, GRIA4, GRID1, GRID2, GRIK1, GRIK2, GRIK3, GRIK4, GRIK5, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, P2RX2, P2RX1, P2RX3, P2RX4, P2RX5, P2RX7, P2RX6, GABRR3, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRR1, GABRR2, GABRQ, PRLHR, NPBWR1, NPBWR2, MLNR, GPR156, GABBR1, GABBR2, GRM1, GRM2, GRM3, GRM4, GRM5, GRM6, GRM7, GRM8, VIPR1, VIPR2, SCTR, ADCYAP1R1, PTH1R, PTH2R, GHRHR, GLP1R, GLP2R, GCGR, GIPR, CRHR1, CRHR2, CALCRL, CALCR, CYSLTR1, CYSLTR2, RXFP2, RXFP4, RXFP3, RXFP1, LTB4R, LTB4R2, S1PR1, S1PR3, S1PR5, S1PR4, S1PR2, LPAR1, LPAR3, LPAR4, LPAR2, MTNR1A, MTNR1B, GPR50, TRHR, GNRHR, PTAFR, CNR1, CNR2, LPAR6, P2RY10, GPR35, P2RY8, P2RY1, P2RY2, P2RY4, P2RY6, P2RY11, P2RY13, P2RY14, ADORA1, ADORA2A, ADORA2B, ADORA3, TBXA2R, PTGIR, PTGFR, PTGER1, PTGER2, PTGER3, PTGER4, PTGDR, TSHR, LHCGR, FSHR, NMUR1, NMUR2, UTS2R, NPFFR2, NPFFR1, HCRTR1, HCRTR2, F2R, F2RL1, F2RL2, PARD3, F2RL3, GALR1, GALR3, GALR2, OXTR, AVPR1A, AVPR1B, AVPR2, TACR1, SSTR1, SSTR2, SSTR3, SSTR4, SSTR5, OPRD1, OPRK1, OPRL1, OPRM1, NTSR2, NTSR1, NPY4R2, GPR83, NPY1R, NPY2R, NPY5R, NPY4R, MC1R, MC2R, MC3R, MC4R, MC5R, GHSR, EDNRA, EDNRB, CCKAR, CCKBR, APLNR, FPR1, FPR2, FPR3, C5AR1, C3AR1, BDKRB1, BDKRB2, GRPR, NMBR, BRS3, AGTR1, AGTR2, TAAR9, TAAR1, TAAR6, TAAR8, TAAR5, TAAR2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR4, HTR5A, HTR6, HTR7, HRH3, HRH1, HRH2, HRH4, DRD1, DRD2, DRD3, DRD4, DRD5, ADRA1D, ADRA1B, ADRA1A, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA1, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA7, CHRNB1, CHRNB2, CHRNB3, CHRNB4, CHRND, CHRNE, CHRNG, CHRNA9, CHRNA10, CHRNA6, AGT, APLN, GRP, NMB, KNG1, C3, C5, CCK, EDN1, EDN2, EDN3, GAL, GHRL, KISS1, POMC, MLN, NMU, NPFF, NPY, PPY, PYY, NPB, NPW, NTS, HCRT, OXT, CORT, SST, TAC4, TAC1, TAC3, UTS2, AVP, PRLH, PMCH, GNRH1, GNRH2, INSL5, RLN3, INSL3, RLN1, RLN2, TRH, ADM, IAPP, CALCA, CALCB, UCN3, CRH, UCN, UCN2, GIP, GCG, GHRH, PTH2, PTH, ADCYAP1, SCT, VIP, PDYN, PENK, SLURP2, SLURP1"
"133"	"Pathway.KEGG_Cell cycle"	"CDKN2A, FZR1, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, ORC6, ORC3, ORC1, ORC2, ORC4, ORC5, ANAPC10, CDC26, ANAPC13, ANAPC2, ANAPC4, ANAPC5, ANAPC7, ANAPC11, ANAPC1, CDC23, CDC16, CDC27, SKP1, CUL1, RBX1, CDK1, BUB1B, PCNA, PLK1, ATM, ATR, DBF4, MAD2L2, MAD2L1, BUB1, BUB3, CDC14B, CDC14A, YWHAQ, YWHAB, YWHAE, YWHAG, YWHAH, YWHAZ, SFN, CHEK1, CHEK2, CDKN1A, PRKDC, MDM2, CREBBP, EP300, SKP2, PKMYT1, WEE2, WEE1, PTTG2, PTTG1, ESPL1, SMC1B, SMC1A, RB1, GADD45G, GADD45A, GADD45B, TP53, CDKN1B, CDKN1C, CDKN2B, TGFB1, TGFB2, TGFB3, SMAD4, SMAD2, SMAD3, CDC7, CDC20, CDC25B, CDC25C, CDC45, CDC6, CDC25A, GSK3B, CCNB3, CCNB1, CCNB2, CCNA2, CCNA1, CDK7, CDK2, CDK4, CDK6, CCNH, CCNE1, CCNE2, CCND1, CCND2, CCND3, MAD1L1, TTK, CDKN2C, CDKN2D, SMC3, STAG1, STAG2, RAD21, RBL1, E2F4, E2F5, MYC, ZBTB17, ABL1, TFDP1, TFDP2, E2F1, E2F2, E2F3, HDAC1, HDAC2, RBL2"
"134"	"Pathway.KEGG_Oocyte meiosis"	"MOS, CDK1, MAD2L2, MAD2L1, MAD1L1, CCNB2, PKMYT1, RPS6KA6, RPS6KA1, RPS6KA2, RPS6KA3, MAPK1, MAPK3, MAP2K1, ANAPC10, CDC26, ANAPC13, ANAPC2, ANAPC4, ANAPC5, ANAPC7, ANAPC11, ANAPC1, CDC23, CDC16, CDC27, CDC20, PTTG2, PTTG1, CCNB1, FBXO5, SKP1, CUL1, RBX1, CCNE1, CCNE2, FBXO43, CDC25C, CDK2, FBXW11, BTRC, CAMK2A, CAMK2B, CAMK2D, CAMK2G, PLK1, AURKA, PLCZ1, ITPR1, ITPR2, ITPR3, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, CPEB2, CPEB3, CPEB1, CPEB4, PRKACA, PRKACB, PRKACG, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, YWHAQ, YWHAB, YWHAE, YWHAG, YWHAH, YWHAZ, PPP1CA, PPP1CB, PPP1CC, MAPK14, MAPK11, MAPK13, MAPK12, ESPL1, SMC1B, SMC1A, REC8, STAG3, SGO1, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, SMC3, PGR, AR, IGF1R, INS, IGF1, SPDYE2B, SPDYE18, SPDYE11, SPDYE16, SPDYE17, SPDYA, SPDYE1, SPDYC, SPDYE4, SPDYE3, SPDYE2, SPDYE5, SPDYE6, SLK, BUB1"
"135"	"Pathway.KEGG_p53 signaling pathway"	"SIAH1, IGFBP3, GADD45G, GADD45A, GADD45B, MDM4, CHEK1, ATR, CHEK2, ATM, RPRM, SFN, CDK2, CCNE1, CCNE2, TSC2, PPM1D, TP73, CCNG1, CCNG2, COP1, RRM2B, RRM2, DDB2, STEAP3, PTEN, SERPINB5, CD82, THBS1, IGF1, SERPINE1, ADGRB1, CDKN2A, CDKN1A, ZMAT3, BID, EI24, TP53I3, FAS, GTSE1, BAX, PIDD1, TNFRSF10B, CASP8, CDK1, APAF1, CYCS, CASP9, MDM2, TP53, RCHY1, CDK4, CDK6, CCND1, CCND2, CCND3, PERP, SHISA5, SESN3, SESN1, SESN2, CCNB1, CCNB2, CASP3, TP53AIP1, BBC3, PMAIP1, GORAB, SIVA1, BCL2L1, BCL2, AIFM2"
